Date,Open,High,Low,Close,Adj Close,Volume
1967-08-01,1311.53,1329.66,1293.78,1308.45,1308.45,876173907
1967-09-01,1302.84,1313.83,1263.45,1301.79,1301.79,1387708320
1967-10-01,1296.2,1315.69,1281.19,1295.16,1295.16,805849478
1967-11-01,1300.8,1316.53,1254.82,1288.56,1288.56,1345997598
1967-12-01,1284.57,1299.3,1260.93,1282.0,1282.0,1073619734
1968-01-01,1284.94,1354.87,1276.62,1313.4,1313.4,1022097025
1968-02-01,1311.29,1361.34,1301.0,1345.58,1345.58,1058890838
1968-03-01,1344.53,1394.73,1319.18,1378.54,1378.54,1054504596
1968-04-01,1383.52,1421.3,1355.86,1412.31,1412.31,1368822068
1968-05-01,1418.93,1487.29,1408.3,1446.9,1446.9,1088512900
1968-06-01,1442.76,1492.1,1427.35,1482.35,1482.35,1488247075
1968-07-01,1478.86,1544.91,1462.09,1518.66,1518.66,1465854112
1968-08-01,1526.18,1593.82,1515.01,1555.86,1555.86,937366260
1968-09-01,1563.15,1625.27,1537.8,1593.97,1593.97,745732218
1968-10-01,1595.31,1678.78,1583.57,1633.02,1633.02,1468623122
1968-11-01,1626.16,1708.26,1601.56,1673.02,1673.02,888163116
1968-12-01,1666.66,1733.96,1643.46,1714.0,1714.0,1195505208
1969-01-01,1712.62,1793.82,1680.04,1760.17,1760.17,863407359
1969-02-01,1763.98,1835.94,1737.39,1807.59,1807.59,939997663
1969-03-01,1804.27,1869.2,1782.84,1856.28,1856.28,1498763552
1969-04-01,1865.49,1926.79,1848.74,1906.29,1906.29,1446607502
1969-05-01,1913.55,1986.96,1899.45,1957.64,1957.64,1366995963
1969-06-01,1961.62,2074.02,1932.57,2010.38,2010.38,706258485
1969-07-01,2016.75,2111.83,1978.26,2064.53,2064.53,807432891
1969-08-01,2056.59,2162.42,2037.91,2120.15,2120.15,1183863861
1969-09-01,2124.76,2225.43,2105.72,2177.26,2177.26,1090825481
1969-10-01,2186.09,2252.66,2161.27,2235.91,2235.91,921344179
1969-11-01,2224.81,2347.12,2204.95,2296.15,2296.15,1292984726
1969-12-01,2297.33,2370.41,2283.25,2358.0,2358.0,1406485114
1970-01-01,2367.52,2409.0,2276.42,2324.6,2324.6,818475028
1970-02-01,2315.94,2358.75,2230.96,2291.67,2291.67,1388562065
1970-03-01,2300.82,2320.93,2241.65,2259.21,2259.21,1324092993
1970-04-01,2267.89,2300.35,2206.78,2227.21,2227.21,1443904812
1970-05-01,2235.33,2273.7,2132.43,2195.67,2195.67,719829089
1970-06-01,2200.86,2242.59,2106.86,2164.57,2164.57,1391251222
1970-07-01,2171.29,2207.79,2117.01,2133.91,2133.91,1397733426
1970-08-01,2141.56,2178.5,2067.02,2103.68,2103.68,944152693
1970-09-01,2109.89,2121.19,2052.7,2073.88,2073.88,962609560
1970-10-01,2081.44,2100.56,1998.87,2044.51,2044.51,1019742707
1970-11-01,2054.35,2093.56,1999.19,2015.55,2015.55,1476320488
1970-12-01,2009.07,2027.12,1971.25,1987.0,1987.0,1047651006
1971-01-01,1991.54,2082.88,1966.31,2039.31,2039.31,1008156346
1971-02-01,2040.87,2143.51,2030.61,2092.99,2092.99,1440460132
1971-03-01,2093.79,2201.85,2062.26,2148.08,2148.08,991377177
1971-04-01,2138.84,2235.31,2118.08,2204.63,2204.63,1378412223
1971-05-01,2209.47,2292.87,2184.89,2262.66,2262.66,1021920309
1971-06-01,2258.04,2360.2,2214.9,2322.22,2322.22,1241854356
1971-07-01,2331.58,2414.64,2300.76,2383.35,2383.35,700324751
1971-08-01,2378.27,2496.63,2343.03,2446.09,2446.09,1071990552
1971-09-01,2444.68,2555.11,2399.41,2510.48,2510.48,1336819808
1971-10-01,2502.19,2625.31,2465.92,2576.57,2576.57,968150604
1971-11-01,2584.77,2705.65,2563.14,2644.39,2644.39,859303946
1971-12-01,2631.81,2762.39,2585.11,2714.0,2714.0,758262583
1972-01-01,2711.68,2894.81,2669.8,2865.44,2865.44,1095501735
1972-02-01,2858.1,3040.91,2811.62,3025.33,3025.33,1316036950
1972-03-01,3013.43,3225.28,2955.06,3194.14,3194.14,1114366200
1972-04-01,3179.78,3466.48,3142.11,3372.37,3372.37,1341133281
1972-05-01,3378.03,3635.6,3313.0,3560.55,3560.55,1413140740
1972-06-01,3564.56,3829.26,3502.33,3759.23,3759.23,1138297560
1972-07-01,3774.16,4039.7,3740.62,3968.99,3968.99,897791790
1972-08-01,3974.46,4270.39,3917.22,4190.46,4190.46,919677957
1972-09-01,4172.75,4478.86,4131.88,4424.29,4424.29,1132121778
1972-10-01,4408.29,4782.04,4339.53,4671.16,4671.16,751383080
1972-11-01,4666.84,5011.83,4629.03,4931.81,4931.81,1036114814
1972-12-01,4951.77,5330.82,4863.38,5207.0,5207.0,1312475660
1973-01-01,5200.77,5333.4,5115.99,5257.18,5257.18,1382758360
1973-02-01,5281.02,5441.51,5211.35,5307.85,5307.85,1182602071
1973-03-01,5293.01,5448.86,5264.24,5359.0,5359.0,968903634
1973-04-01,5368.6,5408.73,5138.28,5230.44,5230.44,802102237
1973-05-01,5236.84,5293.97,5001.65,5104.97,5104.97,721681637
1973-06-01,5112.25,5173.22,4950.82,4982.5,4982.5,1003283091
1973-07-01,4968.14,5049.7,4788.88,4862.97,4862.97,1301607858
1973-08-01,4879.12,4909.51,4720.1,4746.32,4746.32,1131535238
1973-09-01,4770.04,4840.41,4511.58,4632.45,4632.45,1221403724
1973-10-01,4644.23,4681.34,4496.23,4521.33,4521.33,821905876
1973-11-01,4504.43,4565.05,4364.83,4412.86,4412.86,1259571976
1973-12-01,4424.64,4487.07,4198.49,4307.0,4307.0,791626297
1974-01-01,4320.75,4349.36,4239.59,4263.87,4263.87,949565795
1974-02-01,4271.43,4318.2,4118.57,4221.17,4221.17,760797182
1974-03-01,4229.22,4256.83,4070.84,4178.9,4178.9,1380234591
1974-04-01,4183.09,4265.74,4028.94,4137.05,4137.05,977763012
1974-05-01,4134.09,4186.13,4037.41,4095.62,4095.62,1379660501
1974-06-01,4108.82,4188.58,3964.75,4054.6,4054.6,1362965848
1974-07-01,4063.01,4128.05,3889.29,4014.0,4014.0,916065917
1974-08-01,4026.37,4075.7,3907.2,3973.8,3973.8,1284820971
1974-09-01,3964.6,4033.83,3905.13,3934.01,3934.01,1405304947
1974-10-01,3923.93,3979.48,3835.29,3894.61,3894.61,722959998
1974-11-01,3908.28,3940.26,3753.28,3855.61,3855.61,972271074
1974-12-01,3870.27,3905.66,3796.87,3817.0,3817.0,1458450062
1975-01-01,3801.18,3929.6,3738.95,3859.4,3859.4,1252487471
1975-02-01,3865.03,4005.32,3840.31,3902.26,3902.26,877277120
1975-03-01,3909.75,4027.29,3862.44,3945.6,3945.6,1124737544
1975-04-01,3942.66,4045.01,3881.38,3989.43,3989.43,916733141
1975-05-01,3979.51,4074.88,3952.48,4033.74,4033.74,1128691172
1975-06-01,4044.31,4122.76,3994.72,4078.54,4078.54,1279668000
1975-07-01,4097.98,4175.97,4071.31,4123.84,4123.84,855294062
1975-08-01,4112.6,4192.08,4059.09,4169.64,4169.64,919449061
1975-09-01,4189.42,4316.42,4160.54,4215.95,4215.95,1394768957
1975-10-01,4215.57,4350.17,4164.81,4262.78,4262.78,1052375038
1975-11-01,4249.33,4441.19,4197.63,4310.13,4310.13,1357692516
1975-12-01,4305.85,4453.85,4280.86,4358.0,4358.0,819358067
1976-01-01,4360.74,4547.85,4331.19,4407.53,4407.53,1311554756
1976-02-01,4412.22,4507.08,4355.57,4457.63,4457.63,1060411571
1976-03-01,4455.08,4651.35,4412.39,4508.29,4508.29,1196821856
1976-04-01,4513.24,4698.99,4476.6,4559.54,4559.54,868820156
1976-05-01,4566.85,4656.06,4538.87,4611.36,4611.36,702140578
1976-06-01,4609.08,4723.77,4570.03,4663.77,4663.77,1265564663
1976-07-01,4673.24,4827.91,4585.11,4716.78,4716.78,1330262421
1976-08-01,4722.68,4914.5,4668.95,4770.39,4770.39,1135649902
1976-09-01,4777.44,4956.42,4748.43,4824.61,4824.61,832738231
1976-10-01,4815.33,4978.84,4770.41,4879.45,4879.45,799482926
1976-11-01,4888.66,5085.19,4827.51,4934.91,4934.91,1095036175
1976-12-01,4914.2,5074.17,4865.87,4991.0,4991.0,900294321
1977-01-01,4970.6,5117.69,4902.86,4980.38,4980.38,1460629022
1977-02-01,5005.26,5050.52,4939.53,4969.78,4969.78,1305015064
1977-03-01,4968.31,5061.42,4910.1,4959.2,4959.2,1168263700
1977-04-01,4965.88,4997.51,4877.41,4948.64,4948.64,966646714
1977-05-01,4957.06,5006.37,4820.93,4938.11,4938.11,930574236
1977-06-01,4960.09,5025.82,4842.45,4927.6,4927.6,951613725
1977-07-01,4918.89,4973.3,4824.2,4917.11,4917.11,1490495371
1977-08-01,4924.86,4980.01,4857.26,4906.64,4906.64,989423487
1977-09-01,4919.23,4999.9,4844.81,4896.2,4896.2,1139375711
1977-10-01,4917.14,4993.22,4845.33,4885.78,4885.78,1478517452
1977-11-01,4891.1,4927.17,4778.49,4875.38,4875.38,1141801127
1977-12-01,4855.54,5009.24,4797.66,4865.0,4865.0,793972919
1978-01-01,4881.16,5071.44,4819.49,4950.9,4950.9,918739917
1978-02-01,4967.47,5096.66,4901.56,5038.31,5038.31,1006868810
1978-03-01,5059.57,5274.64,4968.69,5127.27,5127.27,920997922
1978-04-01,5142.14,5375.5,5077.27,5217.8,5217.8,1356439578
1978-05-01,5206.47,5420.62,5102.42,5309.92,5309.92,1091712277
1978-06-01,5291.26,5481.05,5221.0,5403.68,5403.68,1134744050
1978-07-01,5401.26,5554.59,5317.75,5499.09,5499.09,1157438113
1978-08-01,5484.43,5630.76,5395.75,5596.18,5596.18,1264182304
1978-09-01,5613.61,5825.51,5516.43,5694.99,5694.99,1484654510
1978-10-01,5694.72,5903.11,5615.83,5795.54,5795.54,1395760250
1978-11-01,5817.22,6011.11,5748.27,5897.87,5897.87,1277955062
1978-12-01,5892.56,6057.02,5821.6,6002.0,6002.0,1475362904
1979-01-01,5992.31,6183.74,5885.79,6047.4,6047.4,1381873069
1979-02-01,6069.13,6175.7,5973.35,6093.14,6093.14,1307521447
1979-03-01,6115.83,6181.26,6027.35,6139.22,6139.22,1436743279
1979-04-01,6169.76,6289.06,6129.8,6185.66,6185.66,1206998263
1979-05-01,6208.7,6380.39,6093.52,6232.44,6232.44,736792774
1979-06-01,6250.9,6374.53,6206.0,6279.58,6279.58,1124933054
1979-07-01,6283.72,6387.75,6244.86,6327.08,6327.08,1396671678
1979-08-01,6334.65,6563.93,6289.38,6374.93,6374.93,1068919930
1979-09-01,6359.25,6456.89,6250.7,6423.15,6423.15,1420967538
1979-10-01,6434.56,6581.28,6369.03,6471.73,6471.73,1170057364
1979-11-01,6480.72,6597.32,6366.15,6520.68,6520.68,859373599
1979-12-01,6513.16,6644.93,6424.72,6570.0,6570.0,1159849544
1980-01-01,6602.37,6821.56,6504.17,6613.85,6613.85,919584304
1980-02-01,6618.21,6825.16,6580.25,6658.0,6658.0,1185125194
1980-03-01,6657.78,6787.74,6544.71,6702.44,6702.44,1185651998
1980-04-01,6692.54,6894.02,6591.04,6747.18,6747.18,1276742701
1980-05-01,6757.92,6941.39,6632.55,6792.22,6792.22,1217072487
1980-06-01,6779.24,6978.74,6670.87,6837.55,6837.55,772106700
1980-07-01,6823.54,6950.25,6775.9,6883.19,6883.19,1131526207
1980-08-01,6915.65,7134.68,6794.92,6929.14,6929.14,905576067
1980-09-01,6951.63,7162.15,6839.03,6975.39,6975.39,970972203
1980-10-01,6948.54,7083.74,6813.06,7021.95,7021.95,1388112477
1980-11-01,7037.69,7288.77,6917.57,7068.82,7068.82,992620039
1980-12-01,7089.36,7254.67,7005.56,7116.0,7116.0,1238262705
1981-01-01,7128.26,7356.28,6992.08,7161.45,7161.45,786676881
1981-02-01,7142.39,7415.3,7046.53,7207.19,7207.19,1432204726
1981-03-01,7187.11,7450.84,7053.14,7253.23,7253.23,941752139
1981-04-01,7246.58,7522.55,7177.26,7299.56,7299.56,1094099695
1981-05-01,7270.15,7409.82,7184.33,7346.18,7346.18,1236388975
1981-06-01,7364.04,7513.73,7245.23,7393.1,7393.1,823618321
1981-07-01,7386.81,7575.83,7304.66,7440.33,7440.33,1461217220
1981-08-01,7405.56,7614.93,7262.94,7487.85,7487.85,1384360154
1981-09-01,7457.85,7684.13,7311.17,7535.68,7535.68,986939072
1981-10-01,7528.0,7646.74,7394.6,7583.81,7583.81,1063773894
1981-11-01,7596.15,7793.47,7555.74,7632.25,7632.25,1329435672
1981-12-01,7612.68,7836.49,7566.78,7681.0,7681.0,1312125900
1982-01-01,7658.51,7928.0,7582.47,7708.45,7708.45,818043343
1982-02-01,7739.33,7877.68,7667.1,7736.01,7736.01,803993705
1982-03-01,7716.72,7941.04,7675.15,7763.66,7763.66,711888261
1982-04-01,7786.17,7898.47,7726.89,7791.41,7791.41,741919214
1982-05-01,7810.24,8015.77,7715.39,7819.25,7819.25,1322413631
1982-06-01,7820.29,7993.19,7670.29,7847.2,7847.2,734692029
1982-07-01,7869.43,8025.5,7776.01,7875.25,7875.25,1471220946
1982-08-01,7840.66,8028.62,7720.77,7903.4,7903.4,1092215083
1982-09-01,7935.78,7985.07,7761.72,7931.65,7931.65,752545786
1982-10-01,7913.8,8117.65,7835.63,7960.0,7960.0,1495702204
1982-11-01,7962.43,8158.97,7910.77,7988.45,7988.45,1261423534
1982-12-01,8016.63,8223.53,7889.87,8017.0,8017.0,872018453
1983-01-01,8013.12,8274.17,7918.54,8158.71,8158.71,1032791720
1983-02-01,8125.68,8493.55,8039.43,8302.93,8302.93,822111139
1983-03-01,8338.05,8681.7,8284.7,8449.69,8449.69,777251546
1983-04-01,8469.87,8771.22,8353.01,8599.05,8599.05,1149269131
1983-05-01,8584.4,8878.35,8455.81,8751.05,8751.05,1300227400
1983-06-01,8783.26,9183.12,8660.24,8905.74,8905.74,981316948
1983-07-01,8912.68,9269.18,8838.14,9063.16,9063.16,786574705
1983-08-01,9094.46,9459.39,8970.67,9223.36,9223.36,1345777096
1983-09-01,9255.2,9640.75,9123.74,9386.4,9386.4,1214159331
1983-10-01,9341.93,9814.01,9257.74,9552.32,9552.32,844332857
1983-11-01,9571.68,9858.97,9522.94,9721.17,9721.17,1395890165
1983-12-01,9727.61,9980.36,9586.59,9893.0,9893.0,724525678
1984-01-01,9917.35,10269.05,9817.05,10104.0,10104.0,996042473
1984-02-01,10126.39,10434.83,10062.85,10226.96,10226.96,742087061
1984-03-01,10191.93,10591.55,10099.37,10351.43,10351.43,1229550954
1984-04-01,10349.94,10607.07,10180.99,10477.4,10477.4,791054006
1984-05-01,10470.06,10852.21,10341.28,10604.91,10604.91,1233706046
1984-06-01,10556.7,10961.34,10502.7,10733.97,10733.97,941135489
1984-07-01,10702.98,10993.88,10596.78,10864.6,10864.6,706183925
1984-08-01,10891.44,11164.7,10722.02,10996.83,10996.83,1100209877
1984-09-01,11033.48,11207.97,10835.69,11130.66,11130.66,733841809
1984-10-01,11077.09,11584.69,10926.04,11266.12,11266.12,1158719744
1984-11-01,11289.72,11495.7,11229.74,11403.22,11403.22,959814543
1984-12-01,11437.58,11859.0,11222.6,11542.0,11542.0,770503905
1985-01-01,11581.76,11956.41,11432.83,11711.64,11711.64,1016613357
1985-02-01,11689.42,12050.07,11601.5,11883.78,11883.78,1108386627
1985-03-01,11837.91,12413.69,11716.68,12058.45,12058.45,1281903284
1985-04-01,12096.91,12374.91,12009.85,12235.68,12235.68,857817442
1985-05-01,12248.21,12697.33,12154.42,12415.52,12415.52,1318278471
1985-06-01,12414.79,12919.46,12269.12,12598.0,12598.0,1439323406
1985-07-01,12606.12,12959.67,12379.67,12682.41,12682.41,1201773925
1985-08-01,12638.14,12983.65,12517.54,12767.38,12767.38,919738933
1985-09-01,12710.71,13024.91,12561.0,12852.92,12852.92,745512040
1985-10-01,12895.55,13305.66,12665.63,12939.04,12939.04,1192006710
1985-11-01,12939.95,13285.81,12721.56,13025.73,13025.73,1416701412
1985-12-01,13019.18,13409.35,12891.29,13113.0,13113.0,1080503222
1986-01-01,13067.22,13869.03,12825.65,13761.76,13761.76,974750220
1986-02-01,13791.26,14582.13,13671.05,14442.62,14442.62,1050206619
1986-03-01,14433.87,15297.92,14280.98,15157.17,15157.17,926314862
1986-04-01,15143.34,16243.39,14888.35,15907.07,15907.07,1217844285
1986-05-01,15838.02,17083.31,15691.32,16694.06,16694.06,1278986924
1986-06-01,16720.2,18020.7,16552.99,17520.0,17520.0,1166191611
1986-07-01,17457.18,18262.84,17186.99,17711.52,17711.52,1013566387
1986-08-01,17728.36,18144.33,17539.55,17905.14,17905.14,1333329566
1986-09-01,17961.21,18596.51,17672.37,18100.87,18100.87,1248331552
1986-10-01,18105.65,18599.43,17916.85,18298.74,18298.74,990078135
1986-11-01,18240.23,19064.6,18015.99,18498.78,18498.78,881234437
1986-12-01,18431.73,19220.88,18311.61,18701.0,18701.0,1316699776
1987-01-01,18763.67,19865.37,18575.07,19746.51,19746.51,1313046083
1987-02-01,19673.66,21046.07,19329.96,20850.48,20850.48,1316878250
1987-03-01,20914.91,22386.41,20681.44,22016.16,22016.16,1241090337
1987-04-01,21958.37,23542.09,21602.03,23247.01,23247.01,1059142370
1987-05-01,23254.92,25205.33,22975.04,24546.68,24546.68,1368090714
1987-06-01,24514.23,26737.52,24221.9,25919.0,25919.0,925417386
1987-07-01,25888.38,26762.56,25441.72,25955.61,25955.61,1341007379
1987-08-01,25861.76,26572.22,25393.36,25992.28,25992.28,1143632596
1987-09-01,25888.99,26757.33,25648.84,26029.0,26029.0,1310493464
1987-10-01,25969.86,26157.11,21541.65,21910.0,21910.0,1457130610
1987-11-01,21849.1,22072.92,21611.98,21736.31,21736.31,742605509
1987-12-01,21736.75,22169.7,21237.9,21564.0,21564.0,722550036
1988-01-01,21656.9,22892.11,21291.54,22387.3,22387.3,810079670
1988-02-01,22339.59,23795.05,22181.38,23242.03,23242.03,1264428940
1988-03-01,23230.09,24301.66,23024.76,24129.4,24129.4,1367970479
1988-04-01,24141.18,25532.87,23980.21,25050.65,25050.65,930481262
1988-05-01,25000.83,26431.9,24578.11,26007.07,26007.07,1065690893
1988-06-01,25905.86,27570.02,25769.95,27000.0,27000.0,1112300584
1988-07-01,26930.32,27958.78,26547.32,27502.53,27502.53,892451391
1988-08-01,27479.58,28219.24,26940.44,28014.41,28014.41,754143458
1988-09-01,28021.71,29439.98,27648.68,28535.82,28535.82,1012362986
1988-10-01,28527.3,29982.19,28276.12,29066.93,29066.93,712993784
1988-11-01,29150.8,30341.9,28730.33,29607.93,29607.93,1317201099
1988-12-01,29677.57,30345.9,29286.11,30159.0,30159.0,1350807092
1989-01-01,30061.01,31230.23,29597.14,30691.75,30691.75,1205388678
1989-02-01,30787.35,32044.64,30422.05,31233.9,31233.9,934754056
1989-03-01,31091.41,31980.53,30500.66,31785.63,31785.63,1112306871
1989-04-01,31941.1,32730.09,31420.48,32347.11,32347.11,852882744
1989-05-01,32300.85,33852.62,31978.52,32918.51,32918.51,799580006
1989-06-01,32875.06,34339.82,32269.52,33500.0,33500.0,1009315814
1989-07-01,33658.7,34980.23,33023.74,34347.11,34347.11,1115420682
1989-08-01,34450.54,35466.76,33966.97,35215.64,35215.64,1357873023
1989-09-01,35231.65,36364.72,34706.21,36106.13,36106.13,945196684
1989-10-01,36143.18,37893.66,35771.87,37019.14,37019.14,733884130
1989-11-01,37156.12,39167.91,36817.32,37955.23,37955.23,1484021823
1989-12-01,38125.24,39779.41,37726.84,38915.0,38915.0,1340876780
1990-01-01,38984.82,39263.24,35074.24,35841.41,35841.41,1325049575
1990-02-01,35674.67,36269.64,32519.02,33010.57,33010.57,1006283521
1990-03-01,33032.77,33534.4,29472.43,30403.32,30403.32,997610702
1990-04-01,30483.31,30877.82,27561.05,28002.0,28002.0,1219648589
1990-05-01,27931.89,28379.78,25752.15,26236.85,26236.85,1009589904
1990-06-01,26253.04,26486.8,24163.85,24582.98,24582.98,1497092089
1990-07-01,24530.27,24833.66,22841.92,23033.35,23033.35,1382261032
1990-08-01,23022.31,23291.13,21422.35,21581.41,21581.41,1245543408
1990-09-01,21655.98,21877.12,20084.44,20221.0,20221.0,1133737088
1990-10-01,20300.13,21881.88,19916.26,21364.45,21364.45,1210160018
1990-11-01,21427.2,22759.4,21255.47,22572.57,22572.57,811101497
1990-12-01,22638.11,24324.99,22399.65,23849.0,23849.0,1342929381
1991-01-01,23861.32,24264.61,23631.31,24088.09,24088.09,1499676035
1991-02-01,24140.82,24956.5,23721.97,24329.58,24329.58,759000570
1991-03-01,24444.51,24994.91,24072.92,24573.5,24573.5,975611824
1991-04-01,24666.37,25372.7,24475.72,24819.85,24819.85,1473011691
1991-05-01,24803.13,25231.53,24632.92,25068.68,25068.68,822412373
1991-06-01,24984.61,25931.53,24730.01,25320.0,25320.0,1452723243
1991-07-01,25420.0,25642.65,24363.02,24914.8,24914.8,1140673132
1991-08-01,24821.41,25144.14,24060.83,24516.08,24516.08,834908721
1991-09-01,24624.34,24990.78,23533.74,24123.74,24123.74,1184111126
1991-10-01,24206.37,24627.04,23600.81,23737.68,23737.68,736369442
1991-11-01,23771.26,24122.29,22757.32,23357.8,23357.8,1033269426
1991-12-01,23390.27,23727.26,22689.32,22984.0,22984.0,1465320135
1992-01-01,22980.08,23331.1,21170.06,21449.56,21449.56,758378420
1992-02-01,21355.17,21617.06,19807.21,20017.57,20017.57,1185328210
1992-03-01,19980.05,20299.99,18153.6,18681.17,18681.17,1480299302
1992-04-01,18612.2,18862.06,17196.62,17434.0,17434.0,1073178053
1992-05-01,17393.46,17505.69,16380.97,16593.96,16593.96,1007319866
1992-06-01,16613.11,16911.81,15647.33,15794.4,15794.4,961948656
1992-07-01,15806.67,16066.64,14755.95,15033.37,15033.37,1111779871
1992-08-01,15033.18,15113.57,13872.27,14309.0,14309.0,1104355570
1992-09-01,14375.78,15139.21,14293.0,14922.42,14922.42,1095915362
1992-10-01,14979.47,15837.67,14783.98,15562.13,15562.13,1377737892
1992-11-01,15551.38,16629.2,15295.44,16229.26,16229.26,992749882
1992-12-01,16213.13,17098.58,15997.52,16925.0,16925.0,758825399
1993-01-01,16925.72,17565.47,16589.98,17347.71,17347.71,1244318912
1993-02-01,17281.58,18058.99,16989.12,17780.98,17780.98,971268239
1993-03-01,17859.03,18414.15,17633.35,18225.07,18225.07,1100062322
1993-04-01,18142.2,18941.63,17922.57,18680.25,18680.25,1065590847
1993-05-01,18700.1,19412.08,18434.63,19146.8,19146.8,830001636
1993-06-01,19240.74,19881.68,19047.45,19625.0,19625.0,1362631508
1993-07-01,19631.35,19817.78,18718.54,19238.46,19238.46,994686247
1993-08-01,19271.9,19536.99,18359.52,18859.53,18859.53,1280259370
1993-09-01,18895.0,19123.98,17912.89,18488.07,18488.07,1326323193
1993-10-01,18539.12,18832.43,17747.76,18123.92,18123.92,836409649
1993-11-01,18147.3,18467.01,17607.22,17766.94,17766.94,1244581516
1993-12-01,17683.72,17801.29,17321.01,17417.0,17417.0,950953986
1994-01-01,17356.29,18203.68,17067.75,17915.59,17915.59,1436416759
1994-02-01,17982.38,18551.59,17855.23,18428.46,18428.46,865873363
1994-03-01,18396.22,19319.73,18217.66,18956.01,18956.01,838545939
1994-04-01,19034.13,19782.67,18718.54,19498.65,19498.65,1276739649
1994-05-01,19526.6,20487.5,19372.65,20056.84,20056.84,897215308
1994-06-01,20068.49,21276.1,19878.56,20631.0,20631.0,931203309
1994-07-01,20570.61,20771.29,20181.59,20476.81,20476.81,1446960299
1994-08-01,20537.3,20677.54,19850.87,20323.78,20323.78,1003755348
1994-09-01,20421.37,20815.89,19632.81,20171.89,20171.89,932362121
1994-10-01,20129.05,20334.28,19681.9,20021.14,20021.14,905155180
1994-11-01,20016.95,20278.74,19271.56,19871.51,19871.51,1256937040
1994-12-01,19799.43,20072.71,19495.27,19723.0,19723.0,1235867171
1995-01-01,19729.12,19843.3,17497.61,17785.0,17785.0,1273886445
1995-02-01,17713.96,17803.9,16866.21,17207.95,17207.95,1443279744
1995-03-01,17191.93,17504.41,16351.74,16649.62,16649.62,859564779
1995-04-01,16726.86,16972.55,15633.95,16109.41,16109.41,771568576
1995-05-01,16121.35,16376.82,15114.6,15586.73,15586.73,1430583780
1995-06-01,15536.08,15654.73,14631.13,15081.0,15081.0,1497737442
1995-07-01,15065.47,16268.47,14772.71,15790.21,15790.21,1440831758
1995-08-01,15849.69,16868.96,15744.94,16532.76,16532.76,1486395110
1995-09-01,16497.14,17650.72,16292.44,17310.24,17310.24,1450848401
1995-10-01,17371.01,18309.25,17254.8,18124.28,18124.28,829995410
1995-11-01,18116.83,19166.88,17826.07,18976.6,18976.6,1332614131
1995-12-01,18989.46,20062.49,18650.65,19869.0,19869.0,1417634209
1996-01-01,19933.97,20459.08,19634.19,20309.96,20309.96,847824960
1996-02-01,20236.97,21003.56,20056.63,20760.71,20760.71,888417002
1996-03-01,20813.4,21500.59,20483.64,21221.47,21221.47,709148587
1996-04-01,21254.08,21837.3,21110.12,21692.45,21692.45,945445073
1996-05-01,21671.93,22820.65,21334.86,22173.88,22173.88,948782358
1996-06-01,22089.05,22959.89,21774.96,22666.0,22666.0,875302880
1996-07-01,22582.94,22949.15,21606.89,22078.37,22078.37,1032676492
1996-08-01,22089.24,22377.79,21012.83,21505.98,21505.98,874729298
1996-09-01,21451.67,21839.88,20797.37,20948.42,20948.42,1057398381
